"focal_sps","training_set","str","X0_opt","Xb_opt","gmax_opt","pet_a_opt","pet_b_opt","C_opt","alpha_opt","beta_opt","intra_opt","inter_opt","sigma_opt","lmd1_opt","lmd2_opt","lmd3_opt","lmd4_opt","lmd5_opt","lmd6_opt","lmd7_opt","lmd8_opt","lmd9_opt"
"ABAM",1,"int_comp",5.64718432507238,1.29623061887058,4.89807250715592,4.19927613477822,1.19177899983784,0.777869709034177,0.794950602672993,1.36861251179848,0.10418039279544,0.183866530335439,0.891297975454769,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABAM",2,"int_comp",4.78286329351681,1.13030715000118,5.05312741798582,4.39841137366747,1.04632015832738,0.423502102528712,0.727755543640573,0.96778753177482,0.0960669909171458,0.162945948142257,0.874871329826788,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABAM",3,"int_comp",5.57020237371528,1.24789808835124,5.01365669420498,4.45517883879505,1.23811006066115,0.256276614468103,0.516272288778777,1.06821738506164,0.251779258527011,0.522093141180165,0.881439929512056,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABAM",4,"ss_comp",5.20920881039689,1.20091587513618,4.56452654688111,4.59325637148399,1.50427174326262,0.36158935707713,0.359930474395584,0.996047878115338,NA,NA,0.861361921955321,0.134526427368433,0.526798924604632,0.096020720022464,0.988057383687801,0.0625188895469192,0.908877941182838,0.349802523480547,0.696701990871385,NA
"CANO",1,"int_comp",16.311965679552,1.89629678496823,3.35103121697102,3.72707074759869,1.83096688263787,0.091332381460518,1.83010648107796,0.562341924996787,0.1369498908778,0.000868347458616654,0.699108195263045,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CANO",2,"int_comp",22.4611112683414,2.36642032022141,4.94207215004392,3.30801221664594,0.747256439537774,0.190014552846953,0.594843208762696,0.748867593688451,0.565521926366566,0.00880772843688532,0.620747206712194,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CANO",3,"int_comp",19.5849872952152,1.84848297222893,3.58151238027099,3.41357855246157,1.85459190445119,0.0385543296352138,1.19845345917171,0.527449110997268,0.672331616229999,0.0245797191460165,0.744167855933947,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CANO",4,"int_comp",12.4424787475022,2.02087994727179,3.20538060397408,4.45342382439274,2.93032491058166,0.0151673536040125,1.52166498858834,0.125046884763282,0.575118120800584,0.00707753942938606,0.697622868948457,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PSME",1,"eq_comp",29.0530304828387,2.73519427321693,5.73195333130944,4.55783758213363,1.72198397909773,0.0170064515919864,0.868700129096596,0.291482177555284,NA,NA,0.889205976440588,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PSME",2,"int_comp",29.5133723768848,2.3316248442607,6.11598046940326,4.38910477338688,1.82708798061347,0.0318511790854827,0.695543631042828,0.278450515304987,0.787429364448364,0.624313890731856,0.847960287762803,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PSME",3,"ss_comp",16.6352843397765,1.86052684876751,4.64737521550995,4.09368609916958,2.30196703604274,0.0342506422930843,0.700755499032873,0.437991872651859,NA,NA,0.869905934074775,0.458198282294418,0.122872613292784,0.0441545415760888,0.0505285790353424,0.419463952433527,0.756168186468908,0.335739145861031,0.781039687518039,NA
"PSME",4,"int_comp",25.6094937508534,2.68152756261788,5.53913740792369,4.54851573482388,1.17724930500365,0.0912417395433157,0.961486875916413,0.133592926506454,0.107496226220958,0.0969258254381861,0.984843937227555,NA,NA,NA,NA,NA,NA,NA,NA,NA
"THPL",1,"ss_comp",9.99289325398389,1.8184569767155,6.63175982380285,5.29906493753845,1.2422006037409,0.066707309621394,0.671226745469147,0.406333817118347,NA,NA,1.52745133235345,0.210538306993693,0.190251201547391,0.838589626845561,0.984868127835282,0.0303027865869745,NA,NA,NA,NA
"THPL",2,"ss_comp",23.4491306160667,1.79143628622707,7.10230489097432,4.88504693683108,1.43268879150477,0.022204170178909,1.53978656823495,0.629882578727566,NA,NA,1.5200101375128,0.283883053153866,0.4358971390738,0.828972341807829,0.993762651414545,0.0150268177244355,NA,NA,NA,NA
"THPL",3,"ss_comp",9.98866823768819,1.47507463053902,6.48097388605302,5.11736525892515,1.89662247267439,0.0147735271847732,1.25940705371325,0.102810883873285,NA,NA,1.31575409368827,0.267641161597567,0.340123740377406,0.91660078145438,0.558268003298361,0.0915883269458933,NA,NA,NA,NA
"THPL",4,"ss_comp",7.54933329670236,2.20743266926806,6.66136431501729,5.67322932487139,1.70106043347338,0.0842909083730655,0.985419824619638,0.629119279934217,NA,NA,1.22418186361138,0.0973943744416868,0.178892249027384,0.724694641808886,0.740401698826502,0.0507961924818248,NA,NA,NA,NA
"TSHE",1,"ss_comp",15.2501728194408,2.30161320221876,4.51754902493082,5.32970649669182,2.68535714447318,0.122307151465934,0.86969052443519,1.12549065694561,NA,NA,1.26812143503519,0.0181755755023095,0.548441501627705,0.282171061533969,0.257223592134145,0.30651081264952,0.861707186149646,0.432688479482593,0.667486936299661,0.422377938516881
"TSHE",2,"ss_comp",12.7197441905923,1.97789231675656,4.53113000072559,4.98055106767021,2.94540788088112,0.0366583809862062,0.960746532362955,0.514916973756815,NA,NA,1.22942988886092,0.0709213389967232,0.784716265092702,0.0669906838705799,0.800654613925776,0.311458110774595,0.74890885606433,0.921135028088613,0.328820608009721,0.357736081781598
"TSHE",3,"ss_comp",6.3667522544643,1.66241143725705,3.4457338265901,5.00272453740286,2.74322522867266,0.176238691900976,0.863297597283818,1.11789037340322,NA,NA,1.25104052431619,0.0146855572962585,0.722251218970468,0.0669047525701329,0.314534722586153,0.333222615754432,0.674588097531882,0.018977688126558,0.317017662164072,0.165324863693468
"TSHE",4,"ss_comp",24.0818822434745,2.75476664972065,5.22850109422312,5.47016140571547,2.5623906849784,0.104756084850282,1.00442097536603,1.01606446860871,NA,NA,1.25673407804523,0.0858242915042798,0.793071497605267,0.0210807049434564,0.435676721408422,0.658512457124667,0.823777758636307,0.25015404373491,0.407334436054923,0.367658621013708
"TSME",1,"int_comp",20.1120964775266,2.97475291103579,2.42637312069185,3.78520210920917,2.66424600885243,0.0716464821539808,2.50045328705422,1.29495898513456,0.116882797165627,0.0116657151735042,0.533292506166785,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TSME",2,"int_comp",6.74634566342788,2.23011947271313,2.06481250462155,3.44572614247309,2.76416505602159,0.019120419402637,2.21565597576135,1.44163454180607,0.991576130759993,0.00615888145614867,0.582347999060198,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TSME",3,"int_comp",10.3378898758862,2.93322828764605,2.22060011978477,3.05841467481797,2.79977263992409,0.0338051950708008,2.1375435358095,1.63805481958141,0.812560146017504,0.108582214853884,0.483584044969425,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TSME",4,"int_comp",11.0996081320964,2.47809703091332,2.38281143954188,3.01344496635495,2.95213664347107,0.0371847581350404,2.02581051228511,1.18680819502108,0.54838142296267,0.0295730095304804,0.507844750844498,NA,NA,NA,NA,NA,NA,NA,NA,NA
